Epoch,ElapsedTime,BestGene0_CurEpoch,BestGene1_CurEpoch,MaxDistanceTravelled,AvgDistanceTravelled,BestMaxDistance_Run,BestBotGene0_Run,BestBotGene1_Run,GenerationOfBestBot
425.3467,85,354,218,8.646776,8.505797,8.681972,354,218,5
430.3494,86,354,218,8.646776,8.64678,8.681972,354,218,5
435.3527,87,354,218,8.646776,8.64678,8.681972,354,218,5
440.3561,88,354,218,8.681972,8.523128,8.681972,354,218,5
445.3696,89,354,218,8.646776,8.64678,8.681972,354,218,5
450.3736,90,354,218,8.646776,8.64678,8.681972,354,218,5
455.377,91,354,218,8.681972,8.542478,8.681972,354,218,5
460.3808,92,354,218,4.339808,4.339809,8.681972,354,218,5
465.3835,93,354,218,8.646776,8.587592,8.681972,354,218,5
470.3871,94,354,218,8.646776,8.64678,8.681972,354,218,5
475.3904,95,354,218,8.646776,8.64678,8.681972,354,218,5
480.3939,96,354,218,8.646776,8.519764,8.681972,354,218,5
485.4005,97,354,218,8.681972,8.681973,8.681972,354,218,5
490.4044,98,354,218,8.646776,8.64678,8.681972,354,218,5
495.4083,99,354,218,8.646776,8.64678,8.681972,354,218,5
500.4117,100,354,218,8.646776,8.64678,8.681972,354,218,5
505.4151,101,354,218,8.646776,8.552831,8.681972,354,218,5
510.4178,102,354,218,8.681972,8.536769,8.681972,354,218,5
515.4205,103,354,218,4.339808,4.339809,8.681972,354,218,5
520.4216,104,354,218,8.646776,8.64678,8.681972,354,218,5
525.428,105,354,218,8.646776,8.64678,8.681972,354,218,5
530.4296,106,354,218,8.646776,8.64678,8.681972,354,218,5
535.4305,107,354,218,8.681972,8.590932,8.681972,354,218,5
540.4328,108,354,218,4.089967,4.017635,8.681972,354,218,5
545.4348,109,354,218,8.646776,8.482019,8.681972,354,218,5
550.4359,110,354,218,8.646776,8.64678,8.681972,354,218,5
555.4427,111,354,218,8.646776,8.64678,8.681972,354,218,5
560.4424,112,354,218,8.681972,8.681973,8.681972,354,218,5
565.444,113,354,218,4.339808,4.339809,8.681972,354,218,5
570.4454,114,354,218,8.646776,8.64678,8.681972,354,218,5
575.4471,115,354,218,8.646776,8.589969,8.681972,354,218,5
580.4472,116,354,218,8.646776,8.50009,8.681972,354,218,5
585.4487,117,354,218,8.646776,8.64678,8.681972,354,218,5
590.4496,118,354,218,8.646776,8.64678,8.681972,354,218,5
595.4518,119,354,218,8.681972,8.681973,8.681972,354,218,5
600.4539,120,354,218,4.339808,4.268618,8.681972,354,218,5
605.4656,121,354,218,8.646776,8.64678,8.681972,354,218,5
610.4678,122,354,218,8.681972,8.485553,8.681972,354,218,5
615.4695,123,354,218,4.339808,4.339809,8.681972,354,218,5
620.4768,124,354,218,8.646776,8.427073,8.681972,354,218,5
625.4795,125,354,218,8.646776,8.484614,8.681972,354,218,5
630.481,126,354,218,8.646776,8.64678,8.681972,354,218,5
635.4821,127,354,218,8.681972,8.681973,8.681972,354,218,5
640.4899,128,354,218,4.339808,4.339809,8.681972,354,218,5
645.4919,129,354,218,8.646776,8.64678,8.681972,354,218,5
650.4941,130,354,218,8.646776,8.512257,8.681972,354,218,5
655.4963,131,354,218,8.681972,8.681973,8.681972,354,218,5
660.4977,132,354,218,4.339808,4.339809,8.681972,354,218,5
665.4982,133,354,218,8.646776,8.64678,8.681972,354,218,5
670.5002,134,354,218,8.646776,8.512634,8.681972,354,218,5
675.5015,135,354,218,8.646776,8.64678,8.681972,354,218,5
680.5064,136,354,218,8.681972,8.681973,8.681972,354,218,5
685.5304,137,354,218,8.681972,8.681973,8.681972,354,218,5
690.5367,138,354,218,8.646776,8.64678,8.681972,354,218,5
695.5387,139,354,218,8.646776,8.509083,8.681972,354,218,5

